中文	翻译文本
无可更换的宝物	無可更換的寶物
无%s可用	無%s可用
武将已达满级	武將已達滿級
该宝物不适用于%s兵种	該寶物不適用於%s兵種
<color=#ff4949>当前宝物适应兵种与该武将兵种不匹配</color>	<color=#ff4949>當前寶物適應兵種與該武將兵種不匹配</color>
无同名武将	無同名武將
增加%s点经验值	增加%s點經驗值
武将%s级可穿戴	武將%s級可穿戴
武将<color=#fa4e4e>%s</color>级可穿戴	武將<color=#fa4e4e>%s</color>級可穿戴
主公，当前没有符合执行要求的武将!	主公，當前沒有符合執行要求的武將!
穿戴满装备强化到指定等级激活共鸣	穿戴滿裝備強化到指定等級啟動共鳴
<color=#EAC888>[<size=26>%s</size>]</color>%s	<color=#EAC888>[<size=26>%s</size>]</color>%s
<color=#EAC888><size=26>主战法</size>\n</color>	<color=#EAC888><size=26>主戰法</size>\n</color>
<color=#EAC888>战法</color>	<color=#EAC888>戰法</color>
<color=#EAC888><size=26>技能</size>\n</color>	<color=#EAC888><size=26>技能</size>\n</color>
<color=#EAC888>\n<size=26>特技</size>\n</color>	<color=#EAC888>\n<size=26>特技</size>\n</color>
升至<color=#7fb05e>%s</color>转换为	升至<color=#7fb05e>%s</color>轉換為
%s阶	%s階
持有数量:	持有數量:
武将需达到%s级才可升阶	武將需達到%s級才可升階
武器	武器
盔冠	盔冠
衣甲	衣甲
武将评价	武將評價
未拥有过该武将无法点击赞或踩	未擁有過該武將無法點擊讚或踩
当前拥有       %s	當前擁有       %s
消耗        %s	消耗        %s
Lv%s	Lv%s
韬略值不足	韜略值不足
升级后宝物在进行重置操作时需要消耗%s金饼，确认要继续操作吗？	升級後寶物在進行重置操作時需要消耗%s金餅，確認要繼續操作嗎？
可装备	可裝備
可觉醒	可覺醒
未觉醒	未覺醒
武将已解锁	武將已解鎖
武将已上锁，是否解锁并选择该武将	武將已上鎖，是否解鎖並選擇該武將
请下阵或重置武将后再试	請下陣或重置武將後再試
武将技能已升级，使用武将卡后将消失，确定继续操作吗？	武將技能已升級，使用武將卡後將消失，確定繼續操作嗎？
武将已穿戴宝物，使用武将卡后装备的宝物自动返还到背包	武將已穿戴寶物，使用武將卡後裝備的寶物自動返還到背包
已上锁	已上鎖
已解锁战法	已解鎖戰法
已解锁兵阶	已解鎖兵階
已觉醒	已覺醒
已升级技能	已升級技能
消耗的武将中有非初始状态武将，点击确定后选中的武将会消失，确定继续操作？\n <color=#d06666><size=18>(超出武将消耗总量时会返还初始状态的最后置入的武将)</size></color>	消耗的武將中有非初始狀態武將，點擊確定後選中的武將會消失，確定繼續操作？\n <color=#d06666><size=18>(超出武將消耗總量時會返還初始狀態的最後置入的武將)</size></color>
战法预览	戰法預覽
确定对该武将进行属性点重置？	確定對該武將進行屬性點重置？
武将洗点	武將洗點
赛季%s开启第二战法槽位	賽季%s開啟第二戰法槽位
攻略	攻略
武将定位	武將定位
宝物推荐	寶物推薦
替代武将	替代武將
辅助	輔助
来源武将	來源武將
推荐搭配武将	推薦搭配武將
阵容分析	陣容分析
加点推荐	加點推薦
搭配推荐	搭配推薦
俸禄	俸祿
最新	最新
最热	最熱
我的	我的
%s(%s条玩家评论)	%s(%s條玩家評論)
填写评论	填寫評論
填写评论\n<color=#ff5656><size=20>(主公%s级开启)</size>\n</color>	填寫評論\n<color=#ff5656><size=20>(主公%s級開啟)</size>\n</color>
主公等级达到%s级才可填写评价	主公等級達到%s級才可填寫評價
%s <color=#d5d1c6>%s级</color><color=#afafaf><size=18>(%s区 %s)</size>\n</color>	%s <color=#d5d1c6>%s級</color><color=#afafaf><size=18>(%s區 %s)</size>\n</color>
删除成功！	刪除成功！
确定要删除此条评论么？	確定要刪除此條評論嗎？
今日不能对此评论再进行点赞或踩	今日不能對此評論再進行點讚或踩
今日点赞的次数已达上限	今日點讚的次數已達上限
今日踩的次数已达上限	今日踩的次數已達上限
今日发表评论已达上限	今日發表評論已達上限
不可对自己的评价进行点赞或踩	不可對自己的評價進行點讚或踩
发表成功！	發表成功！
评价内容不低于五个字	評價內容不低於五個字
评论次数已达上限	評論次數已達上限
请输入想评价的内容 (必填)\n\n\n\n\n                                      <size=20>最少5字/最多%s字</size>	請輸入想評價的內容 (必填)\n\n\n\n\n                                      <size=20>最少5字/最多%s字</size>
主公等级达到%s级才可进行点赞和踩	主公等級達到%s級才可進行點讚和踩
您未拥有过该武将，暂不能进行评价	您未擁有過該武將，暫不能進行評價
输入内容不能为空！	輸入內容不能為空！
发表评价已达上限，请删除旧的评价后再试	發表評價已達上限，請刪除舊的評價後再試
所有武将	所有武將
广开言路	廣開言路
答题奖励	答題獎勵
【选答题】	【選答題】
提交	提交
%s:%s:%s	%s:%s:%s
[%s]	[%s]
还有问题尚未回答！	還有問題尚未回答！
倒计时 %s	倒計時 %s
很抱歉，答题时间已结束	很抱歉，答題時間已結束
当前没有问卷	當前沒有問卷
问卷提交成功！	問卷提交成功！
命中:	命中:
闪避:	閃避:
潜力点	潛力點
潜力:	潛力:
潜力点<color=#EAE1D6>%s</color>	潛力點<color=#EAE1D6>%s</color>
潜力	潛力
生命:	生命:
抗性:	抗性:
物理伤害	物理傷害
计策伤害	計策傷害
物理伤害减免	物理傷害減免
计策伤害减免	計策傷害減免
统率成长	統率成長
基础兵力	基礎兵力
武力成长	武力成長
智力成长	智力成長
兵力	兵力
武将兵力上限增加	武將兵力上限增加
兵力+%s	兵力+%s
我方兵力	我方兵力
敌方兵力	敵方兵力
潜力重置	潛力重置
武力：影响士兵攻击与血量，武力相关技能的施放效果及伤害减免；单挑胜率	武力：影響士兵攻擊與血量，武力相關技能的施放效果及傷害減免；單挑勝率
智力：影响士兵攻击与血量，智力相关技能的施放效果及伤害减免	智力：影響士兵攻擊與血量，智力相關技能的施放效果及傷害減免
统率：影响士兵防御与血量，统率相关技能的施放效果及伤害减免	統率：影響士兵防禦與血量，統率相關技能的施放效果及傷害減免
已转化 %s	已轉化 %s
未转化 %s	未轉化 %s
没有可以重置的潜力点！	沒有可以重置的潛力點！
1、武将潜力点可以通过升星方式获得	1、武將潛力點可以通過升星方式獲得
2、完成武将陈情可以将潜力点转化为天赋属性	2、完成武將陳情可以將潛力點轉化為天賦屬性
3、每个属性会有转化上限到达上限后不能进行转换	3、每個屬性會有轉化上限到達上限後不能進行轉換
重置武将潜力点后已转化的潜力点会全部返还	重置武將潛力點後已轉化的潛力點會全部返還
战法强化	戰法強化
成长	成長
成长及属性提升	成長及屬性提升
能力提升	能力提升
物理增伤:	物理增傷:
计策增伤:	計策增傷:
物理免伤:	物理免傷:
计策免伤:	計策免傷:
治疗加成:	治療加成:
承疗加成:	承療加成:
士兵等级	士兵等級
当前兵力已超过兵营容量的%s%%，确定要领取奖励吗？	當前兵力已超過兵營容量的%s%%，確定要領取獎勵嗎？
天赋	天賦
需要先激活该等级所有天赋	需要先啟動該等級所有天賦
可派遣	可派遣
工作中	工作中
暂无民夫	暫無民夫
武将%s阶解锁	武將%s階解鎖
士兵升级	士兵升級
物理增伤	物理增傷
计策增伤	計策增傷
物理减伤	物理減傷
计策减伤	計策減傷
伤害减免:	傷害減免:
<color=#9B9B9B>维护</color>	<color=#9B9B9B>維護</color>
<color=#FF4949>爆满</color>	<color=#FF4949>爆滿</color>
<color=#B0E580>新服</color>	<color=#B0E580>新服</color>
<color=#FFD76B>推荐</color>	<color=#FFD76B>推薦</color>
<color=#ffffff>%s</color>月<color=#ffffff>%s</color>号例行维护公共	<color=#ffffff>%s</color>月<color=#ffffff>%s</color>號例行維護公共
抵制不良游戏拒绝盗版游戏注意自我保护谨防上当受骗适度游戏益脑沉迷游戏伤身合理安排时间享受健康生活	抵制不良遊戲拒絕盜版遊戲注意自我保護謹防上當受騙適度遊戲益腦沉迷遊戲傷身合理安排時間享受健康生活
登录失败	登錄失敗
获取服务器额外信息失败	獲取伺服器額外資訊失敗
获取玩家所有服务器名字失败	獲取玩家所有伺服器名字失敗
创建玩家服务器名字失败	創建玩家伺服器名字失敗
当前服务器未开启	當前伺服器未開啟
连接服务器失败	連接伺服器失敗
请输入账号	請輸入帳號
语音发送失败	語音發送失敗
语音播放失败	語音播放失敗
转换文字失败	轉換文字失敗
说话时间太短	說話時間太短
"当前并未获取手机麦克风权限,是否开启?"	"當前並未獲取手機麥克風許可權,是否開啟?"
需要联盟达到%s级	需要聯盟達到%s級
捐献成功%s研发进度+%s	捐獻成功%s研發進度+%s
联盟贡献+%s	聯盟貢獻+%s
已达到最大等级！	已達到最大等級！
城池等级技术点：<color=#B3F170>%s</color>	城池等級技術點：<color=#B3F170>%s</color>
"消耗建设资材<color=#B3F170>%s</color>,获得城池经验<color=#B3F170>%s</color>"	"消耗建設資材<color=#B3F170>%s</color>,獲得城池經驗<color=#B3F170>%s</color>"
捐献资源<color=#B3F170>%s</color>，获得技术点经验<color=#B3F170>%s</color>	捐獻資源<color=#B3F170>%s</color>，獲得技術點經驗<color=#B3F170>%s</color>
本城附加技术点：	本城附加技術點：
附加技术点<size=22>(使用城池建设材料获得城池经验)</size>	附加技術點<size=22>(使用城池建設材料獲得城池經驗)</size>
技术点不足	技術點不足
城池等级 <color=#D5D1C6FF>%s</color> <size=22>(使用城池建设材料获得城池经验)</size>	城池等級 <color=#D5D1C6FF>%s</color> <size=22>(使用城池建設材料獲得城池經驗)</size>
城池等级 <color=#D5D1C6FF>%s</color> <size=22>(捐献金饼提升城池等级)</size>	城池等級 <color=#D5D1C6FF>%s</color> <size=22>(捐獻金餅提升城池等級)</size>
今日可捐献%s次	今日可捐獻%s次
重置该城已研究科技，返还科技点%s\n   是否确认重置	重置該城已研究科技，返還科技點%s\n   是否確認重置
暂未获得该科技	暫未獲得該科技
城池等级 <color=#B3F170FF>%s</color> <size=22>(使用城池建设材料获得城池经验)</size>	城池等級 <color=#B3F170FF>%s</color> <size=22>(使用城池建設材料獲得城池經驗)</size>
暂未获得	暫未獲得
输入联盟名称进行搜索	輸入聯盟名稱進行搜索
备注	備註
累计收取	累計收取
最新收取	最新收取
"%s<color=#7FB05E>%s,%s</color>"	"%s<color=#7FB05E>%s,%s</color>"
占领本郡郡城的联盟成员攻占后获得采集权	佔領本郡郡城的聯盟成員攻佔後獲得採集權
所属郡城被其他联盟占领	所屬郡城被其他聯盟佔領
攻占军垦田可获得采集权	攻佔軍墾田可獲得採集權
【%s】军垦田日志	【%s】軍墾田日誌
%s%s在%s军垦田中累计采收了%s粮食	%s%s在%s軍墾田中累計採收了%s糧食
%s%s最近在%s军垦田中采收了%s粮食	%s%s最近在%s軍墾田中採收了%s糧食
%s军垦田	%s軍墾田
玩家<color=#B3F170FF>%s</color>（%s）从%s军屯田中采收了<color=#B3F170FF>%s</color>资源	玩家<color=#B3F170FF>%s</color>（%s）從%s軍屯田中採收了<color=#B3F170FF>%s</color>資源
玩家<color=#B3F170FF>%s</color>从%s军屯田中采收了<color=#B3F170FF>%s</color>资源	玩家<color=#B3F170FF>%s</color>從%s軍屯田中採收了<color=#B3F170FF>%s</color>資源
 基础类	 基礎類
 兵力类	 兵力類
 成长类	 成長類
 农业类	 農業類
 拓展类	 拓展類
任何人都可以加入	任何人都可以加入
大殿等级%s级及以上	大殿等級%s級及以上
主公等级%s级及以上	主公等級%s級及以上
需要	需要
直接加入	直接加入
申请加入	申請加入
取消申请	取消申請
没有可以直接加入的联盟	沒有可以直接加入的聯盟
联盟旗帜没有进行更改！	聯盟旗幟沒有進行更改！
同盟	同盟
结盟中	結盟中
添加同盟	添加同盟
两联盟间所有成员共享关口、渡口和码头通行权	兩聯盟間所有成員共用關口、渡口和碼頭通行權
添加仇敌	添加仇敵
"成为同盟后,两联盟间所有成员共享关口、渡口和码头通行权,是否确定成为同盟？"	"成為同盟後,兩聯盟間所有成員共用關口、渡口和碼頭通行權,是否確定成為同盟？"
解除后24小时内不可再次与其结盟，是否确定解除同盟	解除後24小時內不可再次與其結盟，是否確定解除同盟
（空缺）	（空缺）
排名	排名
1、同盟成员之间可以将对方联盟占领<color=#ffd76b>关口、码头、渡口</color>视为通路，行军时队伍可正常通过\n2、查看对方占领土地地块颜色会发生变化	1、同盟成員之間可以將對方聯盟佔領<color=#ffd76b>關口、碼頭、渡口</color>視為通路，行軍時隊伍可正常通過\n2、查看對方佔領土地地塊顏色會發生變化
近	近
远	遠
当前能发起申请数量已达最大，无法继续申请	當前能發起申請數量已達最大，無法繼續申請
"同一时间仅能向%s个联盟发起申请,目前已发起%s个请求，是否继续本次操作？"	"同一時間僅能向%s個聯盟發起申請,目前已發起%s個請求，是否繼續本次操作？"
请在%s后再尝试向该联盟发起结盟请求	請在%s後再嘗試向該聯盟發起結盟請求
申请成功	申請成功
结盟成功！	結盟成功！
该联盟结盟数量已达上限	該聯盟結盟數量已達上限
已取消同盟申请	已取消同盟申請
